Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	br_lengths[52]	br_lengths[53]	br_lengths[54]	br_lengths[55]	br_lengths[56]	br_lengths[57]	br_lengths[58]	br_lengths[59]	br_lengths[60]	br_lengths[61]	br_lengths[62]	br_lengths[63]	br_lengths[64]	br_lengths[65]	br_lengths[66]	br_lengths[67]	br_lengths[68]	br_lengths[69]	br_lengths[70]	br_lengths[71]	br_lengths[72]	br_lengths[73]	br_lengths[74]	br_lengths[75]	br_lengths[76]	br_lengths[77]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	rel_br_lengths[52]	rel_br_lengths[53]	rel_br_lengths[54]	rel_br_lengths[55]	rel_br_lengths[56]	rel_br_lengths[57]	rel_br_lengths[58]	rel_br_lengths[59]	rel_br_lengths[60]	rel_br_lengths[61]	rel_br_lengths[62]	rel_br_lengths[63]	rel_br_lengths[64]	rel_br_lengths[65]	rel_br_lengths[66]	rel_br_lengths[67]	rel_br_lengths[68]	rel_br_lengths[69]	rel_br_lengths[70]	rel_br_lengths[71]	rel_br_lengths[72]	rel_br_lengths[73]	rel_br_lengths[74]	rel_br_lengths[75]	rel_br_lengths[76]	rel_br_lengths[77]	stationaryDist[1]	stationaryDist[2]	tree_length
0	-60.32187	-184.8501	124.5282	0.0264127	0.00178782	0.00563869	0.00986922	0.000695509	0.00526174	0.00695509	0.00696748	0.0201607	0.00946326	0.00224935	0.0059364	0.00712933	0.0208292	0.00505682	0.00109174	0.00222717	0.00800152	0.0185066	0.00701504	0.00136172	0.00295713	0.017381	0.0207576	0.000692481	0.00626082	0.0121282	0.0150608	0.00106306	0.00669413	0.0108652	0.0116174	0.00846764	0.00299813	0.00258164	0.0290082	0.0165696	0.00520764	0.00232568	0.0054585	0.0016783	0.000377297	0.021038	0.00241252	0.0393666	0.0525485	0.00371407	0.00345266	0.00256546	0.00126919	0.00444543	0.0346326	0.00592525	0.0310991	0.0156862	0.0116781	0.0152779	0.00813429	0.00113694	0.0308201	0.0066458	0.0017773	0.0130205	0.0323609	0.00623608	0.0157085	0.0351801	0.00883317	0.00470934	0.0238154	0.000286642	0.0154043	0.0053866	0.00756242	0.0554842	0.00863348	0.0286967	0.8278363	1.172164	0.042797	0.215049	0.619104	1.61524	4.65011	23.3661	2.278598	1.415937	0.0290982	0.00196959	0.00621198	0.0108726	0.000766222	0.00579671	0.00766222	0.00767587	0.0222104	0.0104254	0.00247805	0.00653996	0.00785418	0.022947	0.00557095	0.00120274	0.00245361	0.00881504	0.0203882	0.00772827	0.00150017	0.00325779	0.0191481	0.022868	0.000762887	0.00689737	0.0133612	0.016592	0.00117115	0.00737473	0.0119698	0.0127985	0.00932856	0.00330295	0.00284411	0.0319575	0.0182542	0.00573711	0.00256214	0.00601347	0.00184893	0.000415657	0.023177	0.0026578	0.043369	0.0578912	0.00409168	0.00380369	0.00282629	0.00139823	0.0048974	0.0381537	0.00652768	0.034261	0.0172811	0.0128655	0.0168312	0.00896131	0.00125253	0.0339537	0.00732148	0.001958	0.0143443	0.035651	0.00687011	0.0173056	0.0387569	0.00973125	0.00518814	0.0262367	0.000315785	0.0169705	0.00593427	0.0083313	0.0611254	0.00951126	0.0316143	0.586082	0.413918	0.9077118
36	-62.76499	-187.4319	124.6669	0.0217154	0.0164408	0.000959984	0.0117483	0.00592811	0.00410894	0.0123805	0.00783257	0.0010295	0.00379963	0.00290768	0.00828584	0.00517466	0.029247	0.000620339	0.000657229	0.00161665	0.000483529	0.00728973	0.00655873	0.00709762	0.0031637	0.0131092	0.00418082	0.00388618	0.00153172	0.00109754	0.000580581	0.00169889	0.00611258	0.0131924	0.00308484	0.00200474	0.000801062	0.00533943	0.0067609	0.0022097	0.00163878	0.000707629	0.00310371	0.00261697	0.0145762	0.00171989	0.00297865	0.0324916	0.0244091	0.0103866	0.00970936	0.0011687	0.00436611	0.00401392	0.0192318	0.000237263	0.0106335	0.000144299	0.00472971	0.000851813	0.00210893	0.0148863	0.015845	0.000476264	0.00429092	0.00743624	0.0231638	0.00307795	0.0295947	0.00886777	0.000395643	0.00324439	0.00634752	0.00197451	0.0107117	0.0117273	0.0044197	0.0118086	0.00346968	0.00239254	0.8582944	1.141706	0.0350332	0.195047	0.600533	1.66519	5.12697	28.5443	2.423335	1.330203	0.0401697	0.0304126	0.0017758	0.0217324	0.010966	0.00760082	0.0229017	0.0144889	0.00190439	0.00702865	0.00537869	0.0153273	0.00957221	0.0541019	0.00114752	0.00121576	0.00299052	0.000894443	0.0134847	0.0121325	0.0131293	0.00585229	0.0242497	0.00773378	0.00718874	0.00283342	0.00203026	0.00107397	0.00314264	0.0113072	0.0244036	0.00570641	0.00370841	0.00148182	0.00987701	0.0125065	0.00408755	0.00303146	0.00130899	0.00574131	0.00484093	0.0269634	0.0031815	0.00550998	0.0601036	0.0451525	0.0192134	0.0179606	0.00216189	0.00807654	0.00742505	0.0355754	0.000438894	0.0196701	0.000266928	0.00874914	0.0015757	0.00390115	0.0275371	0.0293105	0.000881005	0.00793744	0.0137557	0.042849	0.00569367	0.0547449	0.0164038	0.000731871	0.00600156	0.0117418	0.0036525	0.0198147	0.0216934	0.00817567	0.0218438	0.00641829	0.00442577	0.570853	0.429147	0.5405921
72	-69.31656	-194.7312	125.4146	0.0221021	0.00252398	0.00606482	0.00205967	0.0496242	0.0113659	0.0560126	0.0397681	0.000313674	0.00721391	0.0025961	0.0083862	0.00795137	0.016315	0.000654463	0.00387242	0.00377012	0.0247983	0.00334306	0.0170275	0.0132735	0.00536643	0.00628278	0.00432586	0.0201394	0.00460475	0.0119392	0.0134664	0.0181925	0.01568	0.0271983	0.000591027	0.00418451	0.0227156	0.00219635	0.0249333	0.0315237	0.000754326	0.00609172	0.018069	0.00197594	0.000542915	0.00833255	0.0133758	0.0351468	0.0220843	0.00527075	0.0573009	0.0371193	0.099278	0.00156922	0.00911415	0.0537114	0.0265	0.00370824	0.0177329	0.007797	0.0283114	0.00357646	0.0179773	0.00145905	0.00852583	0.070057	0.00331555	0.00138837	0.0541554	0.011569	0.00706949	0.00837439	0.0348873	0.00741138	0.0176953	0.0144726	0.0168477	0.00620766	0.0159319	0.0418531	1.023474	0.9765256	0.151325	0.398144	0.750274	1.33285	2.51165	6.6083	1.36539	0.954128	0.0168855	0.00192827	0.00463339	0.00157354	0.0379118	0.00868332	0.0427924	0.0303819	0.00023964	0.00551127	0.00198336	0.00640687	0.00607467	0.0124643	0.000499995	0.00295845	0.00288029	0.0189454	0.00255402	0.0130086	0.0101406	0.00409983	0.0047999	0.00330486	0.015386	0.00351792	0.00912132	0.010288	0.0138987	0.0119792	0.0207789	0.000451531	0.00319687	0.0173542	0.00167796	0.0190485	0.0240834	0.000576288	0.00465394	0.0138043	0.00150958	0.000414775	0.00636588	0.0102188	0.0268514	0.0168719	0.00402674	0.0437766	0.0283583	0.0758462	0.00119885	0.00696301	0.0410343	0.0202454	0.00283301	0.0135475	0.00595674	0.0216293	0.00273234	0.0137343	0.00111468	0.00651354	0.053522	0.002533	0.00106069	0.0413735	0.0088385	0.00540093	0.00639785	0.0266531	0.00566213	0.0135188	0.0110568	0.0128713	0.00474252	0.0121716	0.0319749	0.488263	0.511737	1.308939
108	-67.73573	-192.0167	124.2809	0.0353593	0.00319954	0.0176813	0.00519061	0.0254892	0.0211076	0.00659108	0.0166773	0.0244409	0.00415783	0.0112019	0.0283365	0.0142883	0.0106663	0.00598236	0.0261858	0.00442678	0.0127833	0.00811857	0.00281524	0.00622455	0.011694	0.0192635	0.0084753	0.0250717	0.0191281	0.0146449	0.0110067	0.0108398	0.00308164	0.0496363	0.00370178	0.0183854	0.00685654	0.00170375	0.0184633	0.0292602	0.00471582	0.0113942	0.011759	0.000792798	0.0373237	0.00296654	0.0134762	0.0136055	0.000916867	0.00694337	0.0520493	0.00230719	0.0256188	0.00294891	0.0797962	0.0193673	0.00718144	0.0148686	0.0277959	0.00556933	0.0148322	0.00644805	0.0207525	0.00739993	0.02084	0.0346765	0.0903124	0.0102773	0.0276425	0.0223688	0.010514	0.00408909	0.0195153	0.000955166	0.00112507	0.00510895	0.020759	0.0214194	0.0125585	0.005465	0.6560292	1.343971	0.08841	0.306342	0.691362	1.44642	3.26433	11.3109	1.753999	2.048645	0.0285019	0.00257904	0.0142523	0.00418397	0.0205459	0.0170141	0.00531285	0.013443	0.019701	0.00335148	0.00902946	0.0228411	0.0115173	0.00859776	0.00482217	0.0211074	0.00356828	0.0103042	0.0065441	0.00226927	0.00501739	0.00942614	0.0155276	0.00683165	0.0202094	0.0154185	0.0118048	0.00887209	0.00873757	0.002484	0.0400101	0.00298388	0.0148199	0.00552682	0.00137333	0.0148826	0.0235856	0.00380126	0.00918445	0.00947855	0.000639047	0.0300854	0.00239122	0.0108627	0.0109669	0.000739055	0.00559681	0.0419552	0.00185974	0.0206505	0.00237701	0.064321	0.0156114	0.00578871	0.0119851	0.0224053	0.00448924	0.0119557	0.00519755	0.0167279	0.00596483	0.0167984	0.0279515	0.0727977	0.00828416	0.0222817	0.0180307	0.00847499	0.00329607	0.0157306	0.000769926	0.000906881	0.00411815	0.0167331	0.0172654	0.0101229	0.00440515	0.671985	0.328015	1.240594
144	-59.24675	-183.8834	124.6366	0.112458	0.00198874	0.0352371	0.0131401	0.0447257	0.10965	0.00482383	0.00210767	0.0111161	0.00654599	0.033603	0.0164289	0.0383874	0.00444299	0.0190068	0.000780568	0.0270955	0.012451	0.0172462	0.00334283	0.0209269	0.00247212	0.0218011	0.0245843	0.000537168	0.0275132	0.101358	0.00623291	0.00119016	0.00646959	0.00225228	0.0241581	0.0433213	0.0107533	0.0317099	0.0244974	0.0631907	0.000908887	0.0262433	0.0104867	0.0938111	0.0265364	0.0379358	0.0398727	0.0105197	0.0597559	0.0748756	0.0136238	0.000743674	0.0367192	0.0982915	0.0027225	0.000188013	0.0149222	0.0503051	0.00842935	0.049741	0.00512539	0.0639544	0.0112124	0.0166418	0.0166337	0.0173078	0.0379016	0.0570066	0.0187342	0.0629917	0.001949	0.0165113	0.00478622	0.0228607	0.00601475	0.0307156	0.0265359	0.101906	0.0248238	0.0273988	1.341849	0.6581511	0.116936	0.351105	0.721414	1.38617	2.84815	8.55165	1.551796	0.4904807	0.0521799	0.000922767	0.0163499	0.00609697	0.0207525	0.050877	0.00223824	0.000977951	0.00515781	0.00303731	0.0155916	0.00762296	0.0178116	0.00206153	0.00881909	0.00036218	0.0125722	0.00577721	0.00800215	0.00155106	0.00971	0.00114705	0.0101156	0.011407	0.000249244	0.012766	0.0470299	0.00289205	0.00055223	0.00300186	0.00104505	0.0112093	0.0201009	0.00498948	0.0147133	0.0113667	0.0293202	0.00042172	0.0121768	0.0048658	0.043528	0.0123128	0.0176021	0.0185008	0.0048811	0.0277265	0.034742	0.00632137	0.000345062	0.0170376	0.0456069	0.00126323	8.72374e-05	0.00692385	0.0233413	0.00391119	0.0230796	0.00237816	0.0296746	0.00520253	0.00772172	0.00771795	0.00803077	0.0175862	0.0264508	0.00869259	0.0292279	0.00090433	0.00766118	0.00222079	0.0106073	0.00279082	0.0142519	0.0123126	0.047284	0.0115181	0.0127129	0.329076	0.670924	2.155191
180	-61.44784	-185.685	124.2372	0.0580581	0.000598028	0.0217048	0.0172759	0.039049	0.0924008	0.000745664	0.0378028	0.0343684	0.00379863	0.0242083	0.0226848	0.0614865	0.0781415	0.0199117	0.00576849	0.0226032	0.00560598	0.0257204	0.0291472	0.028324	0.000456679	0.0994158	0.0255642	0.0286494	0.0278158	0.0562949	0.00659992	0.00350011	0.00926041	2.89216e-06	0.00826331	0.0317374	0.0194598	0.00412408	0.0121075	0.110032	0.0069361	0.00622927	0.0423209	0.0240191	0.00704311	0.0992544	0.150707	0.0262568	0.0580671	0.0169059	0.0180231	0.0192412	0.00941601	0.0689776	0.015424	0.00174466	0.0350294	0.0130996	0.00912006	0.0535943	0.0414782	0.0244012	0.0326788	0.00409146	0.009536	0.0446387	0.00493685	0.014295	0.0546347	0.106877	0.00965823	0.00108326	0.00920673	0.0241455	0.0459633	0.018714	0.0170861	0.0104475	0.0173442	0.0225908	0.8697705	1.13023	0.305527	0.560863	0.834926	1.19771	1.78297	3.27304	0.8573559	1.299457	0.0255999	0.000263692	0.0095704	0.00761754	0.0172181	0.0407428	0.00032879	0.0166686	0.0151543	0.00167495	0.0106743	0.0100025	0.0271116	0.0344554	0.00877978	0.00254353	0.00996655	0.00247188	0.011341	0.012852	0.0124891	0.000201366	0.043836	0.0112722	0.0126326	0.012265	0.0248224	0.00291014	0.00154332	0.00408324	1.27525e-06	0.00364359	0.0139941	0.00858053	0.00181846	0.00533861	0.0485168	0.00305837	0.00274671	0.0186608	0.0105909	0.00310556	0.0437648	0.0664519	0.0115776	0.0256039	0.0074544	0.00794701	0.00848413	0.00415185	0.0304147	0.006801	0.000769281	0.0154457	0.00577606	0.00402136	0.0236316	0.0182892	0.0107594	0.0144093	0.00180407	0.00420476	0.0196828	0.00217683	0.00630316	0.0240904	0.047126	0.00425866	0.000477649	0.00405958	0.0106466	0.0202668	0.00825169	0.00753388	0.00460667	0.00764766	0.0099611	0.565115	0.434885	2.267905
216	-69.7953	-196.6259	126.8306	0.0296074	0.000286649	0.0109876	7.33639e-06	0.00458694	0.00296938	0.000784433	0.00129766	0.00869881	0.00225142	0.00201003	0.00553806	0.000833749	0.00971004	0.000790373	0.00894524	0.00241863	0.000501468	0.00563636	0.00251159	0.0331626	0.00384848	0.0232407	0.00133276	0.00808052	0.00110215	0.00271365	0.00214647	0.00124982	0.00343013	0.00471463	0.00316847	0.00400954	0.00395381	0.00522974	0.00200503	0.00692484	0.000729813	0.00195555	0.00202876	0.00143378	0.00902764	0.00875901	0.00265503	0.0216724	0.00218359	0.00387549	0.0120677	0.00651782	0.00243079	0.00105967	0.013868	0.00555483	0.009093	0.000718605	6.42931e-05	0.00332134	0.00219305	0.00400841	0.0168474	0.000194598	0.00264782	0.00763071	0.00105437	0.0120774	0.00487767	0.00146864	0.00586579	0.0179405	0.00709842	0.00497032	0.0109178	0.00518984	0.0179646	0.00851312	0.0115811	0.00938374	1.960716	0.03928416	0.029176	0.178398	0.584046	1.71219	5.60545	34.2747	2.55562	0.02003562	0.0627105	0.000607142	0.0232725	1.55389e-05	0.00971544	0.00628934	0.00166148	0.00274852	0.0184246	0.00476865	0.00425737	0.01173	0.00176593	0.0205665	0.00167406	0.0189466	0.00512281	0.00106214	0.0119382	0.0053197	0.0702406	0.00815132	0.0492253	0.00282288	0.0171151	0.00233442	0.00574769	0.00454637	0.00264719	0.00726525	0.0099859	0.00671102	0.00849247	0.00837442	0.0110769	0.00424678	0.0146673	0.00154579	0.00414198	0.00429705	0.00303684	0.0191211	0.0185522	0.00562353	0.0459036	0.00462498	0.00820853	0.0255601	0.0138052	0.00514858	0.00224446	0.0293734	0.0117655	0.0192596	0.00152205	0.000136177	0.00703482	0.00464502	0.00849008	0.0356839	0.000412172	0.00560825	0.0161623	0.00223322	0.0255808	0.0103312	0.00311068	0.0124241	0.037999	0.0150349	0.0105275	0.0231245	0.0109924	0.0380502	0.0180313	0.0245296	0.0198754	0.0196421	0.980358	0.472129
252	-69.28286	-194.5621	125.2792	0.0309975	0.00866299	0.00123273	3.59305e-05	0.01168	0.0111863	0.00490087	0.00269191	0.00137315	0.0141509	0.0202704	0.00405069	0.00413629	0.00996233	0.00366164	0.0259351	0.00123252	0.00173815	0.0136334	0.0104233	0.0133553	0.00261861	0.0369193	0.0101368	0.0144264	0.00573604	0.0154201	0.00522861	0.0027809	0.00135765	0.0158064	0.0160797	0.000611562	0.00774293	0.000406409	0.00265208	0.0086582	0.000340728	0.000114194	0.0083195	0.0209147	0.00395903	0.0147566	0.0253812	0.0132356	0.00121075	0.0130767	0.0351336	0.00981168	0.00686387	0.00257198	0.0418842	0.0117366	0.00159608	0.00184836	0.00127114	0.0143343	0.0222265	0.00117681	0.0186459	0.00386006	0.00393038	0.0217495	0.000124453	0.00309199	0.0193842	0.0046579	0.00543872	0.0233311	0.00565906	0.0196503	0.0079199	0.01893	0.0157116	0.0260502	0.0248607	0.00752595	0.79214	1.20786	0.122707	0.359451	0.726721	1.37604	2.78202	8.14948	1.516966	1.524806	0.0376101	0.010511	0.00149571	4.35955e-05	0.0141717	0.0135726	0.00594636	0.00326617	0.00166608	0.0171697	0.0245947	0.00491482	0.00501868	0.0120876	0.00444277	0.0314678	0.00149545	0.00210894	0.0165418	0.0126468	0.0162044	0.00317723	0.0447952	0.0122993	0.017504	0.0069597	0.0187097	0.00634402	0.00337414	0.00164727	0.0191784	0.01951	0.000742026	0.00939471	0.000493107	0.00321785	0.0105052	0.000413415	0.000138554	0.0100943	0.0253764	0.0048036	0.0179046	0.0307957	0.0160591	0.00146904	0.0158664	0.0426286	0.0119048	0.00832813	0.00312065	0.0508193	0.0142404	0.00193657	0.00224266	0.00154231	0.0173922	0.0269681	0.00142785	0.0226236	0.00468352	0.00476884	0.0263893	0.000151002	0.0037516	0.0235194	0.00565156	0.00659895	0.0283083	0.00686629	0.0238423	0.00960944	0.0229683	0.0190633	0.0316074	0.0301642	0.00913145	0.60393	0.39607	0.8241794
288	-80.15932	-204.1475	123.9881	0.109617	0.0393747	0.00748996	0.0209939	0.0298377	0.0265436	0.0508559	0.0134708	0.043396	0.0206016	0.0362207	0.00130302	0.0109971	0.0204029	0.0512102	0.0339082	0.0120977	0.00616678	0.0535573	0.00367973	0.0197776	0.0183086	0.0427341	0.0257904	0.0812344	0.0137681	0.0411524	0.0299463	0.00296866	0.00541114	0.0034479	8.2545e-06	0.000362689	0.0141079	0.00536152	0.00875151	0.0323542	0.00629685	0.0137506	0.0156451	0.00344148	0.00295366	0.0337469	0.0494318	0.00406591	0.0869087	0.00776386	0.0293227	0.0729309	0.0404361	0.00792911	0.00227766	0.0523557	0.00682065	0.0224173	0.0170237	0.0426487	0.0456856	0.00807064	0.0615428	0.0232376	0.00409068	0.00896401	0.0254157	0.012829	0.0128611	0.0231868	0.0504618	0.0202195	0.0743306	0.0313171	0.0624725	0.0172132	0.00302894	0.0415435	0.000947558	0.0689302	0.8490702	1.15093	0.145589	0.390711	0.745876	1.34071	2.55944	6.86865	1.39333	1.355518	0.0534269	0.019191	0.00365056	0.0102323	0.0145427	0.0129372	0.0247868	0.00656561	0.021151	0.0100411	0.0176537	0.000635086	0.00535991	0.00994427	0.0249596	0.0165267	0.00589636	0.00300565	0.0261035	0.00179348	0.0096395	0.00892352	0.0208284	0.0125701	0.0395932	0.00671049	0.0200574	0.0145957	0.00144691	0.00263736	0.00168049	4.0232e-06	0.000176772	0.00687609	0.00261317	0.00426543	0.0157692	0.00306905	0.00670196	0.00762532	0.00167736	0.0014396	0.016448	0.0240928	0.0019817	0.0423588	0.00378406	0.0142917	0.0355461	0.0197083	0.0038646	0.00111012	0.0255179	0.00332435	0.0109261	0.00829724	0.0207867	0.0222669	0.00393358	0.0299956	0.0113259	0.00199377	0.00436901	0.0123875	0.00625278	0.0062684	0.0113011	0.0245948	0.00985485	0.0362283	0.0152638	0.0304487	0.00838964	0.00147629	0.0202481	0.000461834	0.0335962	0.575465	0.424535	2.051727
324	-79.66472	-204.2721	124.6074	0.0818682	0.0112818	0.00258196	0.0121002	0.0287383	0.025347	0.0234384	0.00349832	0.0089223	0.0154086	0.00818528	0.00119754	0.00748681	0.0041859	0.0435778	0.0225541	0.0300713	0.00031653	0.0195702	0.00900938	0.00140795	0.0183094	0.0415494	0.00330526	0.0168881	0.000202108	0.00591328	0.0229422	0.0217821	0.00781526	0.00456165	0.000139907	0.0142163	0.0460261	0.0363407	0.0111416	0.00656655	0.00081423	0.00140211	0.0160425	0.0245179	0.000810185	0.0160497	0.011132	0.0230225	0.0203025	0.0213577	0.0114755	0.0207623	0.00807288	0.00212668	0.00742984	0.00093734	0.0181462	0.0214302	0.0401337	0.00963554	0.0192638	0.0114223	0.0401377	0.0096438	0.000528006	0.00309624	0.0258135	0.00835117	0.00630727	0.0184864	0.0235071	0.00397338	0.0381898	0.0069654	0.0256428	0.0386857	0.00281622	0.0159783	0.0087551	0.0202251	0.7882708	1.211729	0.0855008	0.301383	0.687852	1.4538	3.31803	11.6958	1.778192	1.537199	0.0670041	0.00923349	0.00211318	0.00990329	0.0235206	0.020745	0.0191829	0.00286316	0.00730235	0.012611	0.00669915	0.000980111	0.0061275	0.0034259	0.0356658	0.0184592	0.0246115	0.00025906	0.016017	0.00737363	0.00115232	0.0149852	0.0340056	0.00270515	0.0138219	0.000165413	0.00483966	0.0187768	0.0178273	0.00639632	0.00373344	0.000114506	0.0116352	0.0376695	0.0297426	0.00911871	0.00537432	0.000666398	0.00114754	0.0131298	0.0200664	0.000663087	0.0131357	0.00911082	0.0188425	0.0166163	0.0174799	0.00939203	0.0169927	0.00660716	0.00174056	0.00608087	0.000767155	0.0148516	0.0175393	0.032847	0.0078861	0.0157663	0.00934843	0.0328502	0.00789286	0.00043214	0.00253408	0.0211267	0.00683493	0.00516211	0.01513	0.0192391	0.00325197	0.031256	0.00570075	0.0209871	0.0316619	0.00230491	0.0130773	0.00716551	0.016553	0.605865	0.394135	1.221838
